,,,,MM/DD/YYYY,,Albion; Big RIver,Restoration; Context; Control; Trapping,deeps (bolts & 0-100) or shallows or NA for other sites,,,,,,,m^2,,,enter number,,,,,,Get this from the processor or landing etix sheet               units in kg,Weight of subsampled urchin in bucket          units in kg,Target = purple urchin; Red=red urchin; Bycatch= any bycatch from the subsample; Leftovers= unprocessed from subsample,"strongylocentrotus purpuratus; mesocentrotus franciscanus; For bycatch, list as detailed as you can, common name is ok, just try to be consistent",Always =1 for urchins; Could be different for bycatch,0=good   1=questionable   2=bad,"N for Noyo; C for Caspar, A for Albion, P for Portuguese then unique number for each urchin per restoraiton site",Unique number per day per bin,in grams,in mm,in mm,0=absent 1=present,0=absent 1=present,in grams,0=absent 1=present,Y/N,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,0=absent 1=present,M/F/U,
Data Entry Initials,QAQC Initials,Commercial Harvesters,Vessel ID,DateTime_Landed,Site_County,Portuguese,restoration,Block_Number,"Quad (NW, NE, SW, or SE)",Secondary Quad,Bolt ID,Heading ,Meter Mark Started,Meter Mark Ended,Area Cleared,Latitude (centroid),Longitude (centroid),Habitat Status,Diver Notes,Processor_Name,DateTime_Processed,Diver ID,Bin #,Total_Bin_Weight,Subsample_Weight,Catch_Type,Species,Count,Data_Flag,UrchinID,urchin_number,wet_weight,diameter,height,wasting_disease,blackspot_disease,gonad_weight,gonad_visible,jaw_collected,cannibal,algae_any,brown_algae,red_algae,green_algae,Sand,Rocks,Parasites,Sex,Urchin Metrics Notes
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,purple not concentrated; spread out and small (<1cm),Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,1,19.08,36,17,0,0,0.37,1,N,NA,1,1,1,1,1,0,1,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,2,49.9,52.5,24,0,0,0.79,1,N,NA,1,1,1,1,1,0,0,U,flagging tape
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,3,114.05,65.5,15,0,0,3.74,1,N,NA,1,1,1,1,1,1,1,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,4,35.2,46,22,0,0,0.93,1,N,NA,1,1,1,1,1,0,0,M,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,5,13.2,33,15,0,0,0.19,1,N,NA,1,1,1,1,1,0,0,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,6,30.01,43,22,0,0,0.63,1,N,NA,1,1,1,1,1,0,0,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,7,27.84,42.5,22,0,0,0.06,1,N,NA,1,1,1,1,1,1,1,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,8,17.43,34.5,18,0,0,0.36,1,N,NA,1,1,1,1,1,0,0,U,
LH,,"B. Kohler, G. Trumper",Safari,06/25/2024,Mendocino,Big River,Commercial Hand Harvest,15,NW,NE,NA,NA,NA,NA,No,39.30178,-123.801974,2-3,,Pacific Rim,06/25/2024,"GT, BK",1,296,missing,target,strongylocentrotous purpuratus,1,0,P,9,43.75,52.5,22,0,0,0.28,1,N,NA,1,1,1,1,1,0,1,U,
